Precentral_L|[Precentral_L description goes here]
Precentral_R|[Precentral_R description goes here]
Frontal_Sup_L|[Frontal_Sup_L description goes here]
Frontal_Sup_R|[Frontal_Sup_R description goes here]
Frontal_Sup_Orb_L|[Frontal_Sup_Orb_L description goes here]
Frontal_Sup_Orb_R|[Frontal_Sup_Orb_R description goes here]
Frontal_Mid_L|[Frontal_Mid_L description goes here]
Frontal_Mid_R|[Frontal_Mid_R description goes here]
Frontal_Mid_Orb_L|[Frontal_Mid_Orb_L description goes here]
Frontal_Mid_Orb_R|[Frontal_Mid_Orb_R description goes here]
Frontal_Inf_Oper_L|[Frontal_Inf_Oper_L description goes here]
Frontal_Inf_Oper_R|[Frontal_Inf_Oper_R description goes here]
Frontal_Inf_Tri_L|[Frontal_Inf_Tri_L description goes here]
Frontal_Inf_Tri_R|[Frontal_Inf_Tri_R description goes here]
Frontal_Inf_Orb_L|[Frontal_Inf_Orb_L description goes here]
Frontal_Inf_Orb_R|[Frontal_Inf_Orb_R description goes here]
Rolandic_Oper_L|[Rolandic_Oper_L description goes here]
Rolandic_Oper_R|[Rolandic_Oper_R description goes here]
Supp_Motor_Area_L|[Supp_Motor_Area_L description goes here]
Supp_Motor_Area_R|[Supp_Motor_Area_R description goes here]
Olfactory_L|[Olfactory_L description goes here]
Olfactory_R|[Olfactory_R description goes here]
Frontal_Sup_Medial_L|[Frontal_Sup_Medial_L description goes here]
Frontal_Sup_Medial_R|[Frontal_Sup_Medial_R description goes here]
Frontal_Med_Orb_L|[Frontal_Med_Orb_L description goes here]
Frontal_Med_Orb_R|[Frontal_Med_Orb_R description goes here]
Rectus_L|[Rectus_L description goes here]
Rectus_R|[Rectus_R description goes here]
Insula_L|[Insula_L description goes here]
Insula_R|[Insula_R description goes here]
Cingulum_Ant_L|[Cingulum_Ant_L description goes here]
Cingulum_Ant_R|[Cingulum_Ant_R description goes here]
Cingulum_Mid_L|[Cingulum_Mid_L description goes here]
Cingulum_Mid_R|[Cingulum_Mid_R description goes here]
Cingulum_Post_L|[Cingulum_Post_L description goes here]
Cingulum_Post_R|[Cingulum_Post_R description goes here]
